iso3,income_cat,hazard,EPR,N_q,l,di_lab
AGO,0.2,Earthquake,0.64306,7577169.800000001,1372.886387756069,1.0294377547715752
AGO,0.2,Flood,0.64306,7577169.800000001,1372.886387756069,0.5875327418672309
AGO,0.4,Earthquake,0.64306,7577169.800000001,2771.022253537914,2.204627755184464
AGO,0.4,Flood,0.64306,7577169.800000001,2771.022253537914,1.2016985191341314
AGO,0.6,Earthquake,0.64306,7577169.800000001,4497.013448992893,1.366855705368392
AGO,0.6,Flood,0.64306,7577169.800000001,4497.013448992893,1.0885817832592073
AGO,0.8,Earthquake,0.64306,7577169.800000001,7257.646154535641,0.5866410430625977
AGO,0.8,Flood,0.64306,7577169.800000001,7257.646154535641,0.9531454834942371
AGO,1.0,Earthquake,0.64306,7577169.800000001,19465.40970434893,1.5737221064456721
AGO,1.0,Flood,0.64306,7577169.800000001,19465.40970434893,2.6326862262073027
ALB,0.2,Earthquake,0.52115,542923.4,5990.205520315545,71.50238664082356
ALB,0.2,Flood,0.52115,542923.4,5990.205520315545,34.74163046728377
ALB,0.2,Tsunami,0.52115,542923.4,5990.205520315545,1.4200253652025814
ALB,0.4,Earthquake,0.52115,542923.4,10003.781336068178,34.03060796641057
ALB,0.4,Flood,0.52115,542923.4,10003.781336068178,72.58710344999122
ALB,0.4,Tsunami,0.52115,542923.4,10003.781336068178,2.935120815816493
ALB,0.6,Earthquake,0.52115,542923.4,13324.378267710443,22.871411672642864
ALB,0.6,Flood,0.52115,542923.4,13324.378267710443,90.25139369563162
ALB,0.6,Tsunami,0.52115,542923.4,13324.378267710443,4.225760878853771
ALB,0.8,Earthquake,0.52115,542923.4,17626.704055148737,31.189593685346885
ALB,0.8,Flood,0.52115,542923.4,17626.704055148737,18.076248647267278
ALB,0.8,Tsunami,0.52115,542923.4,17626.704055148737,0.804450977222646
ALB,1.0,Earthquake,0.52115,542923.4,29922.517797616558,8.577980589015564
ALB,1.0,Flood,0.52115,542923.4,29922.517797616558,25.64052142624672
ALB,1.0,Tsunami,0.52115,542923.4,29922.517797616558,1.1375235179529442
ARG,0.2,Earthquake,0.5508500000000001,9139231.8,4659.009618554573,1.1279679688018411
ARG,0.2,Flood,0.5508500000000001,9139231.8,4659.009618554573,0.9283709358077608
ARG,0.4,Earthquake,0.5508500000000001,9139231.8,10078.881520809613,1.8852289629166592
ARG,0.4,Flood,0.5508500000000001,9139231.8,10078.881520809613,1.4566448281706674
ARG,0.6,Earthquake,0.5508500000000001,9139231.8,15925.471863727505,2.7217680937062343
ARG,0.6,Flood,0.5508500000000001,9139231.8,15925.471863727505,2.027474238665099
ARG,0.8,Earthquake,0.5508500000000001,9139231.8,23606.960241229706,12.487926889607312
ARG,0.8,Flood,0.5508500000000001,9139231.8,23606.960241229706,10.123513029240272
ARG,1.0,Earthquake,0.5508500000000001,9139231.8,51413.38895407817,90.70106321183901
ARG,1.0,Flood,0.5508500000000001,9139231.8,51413.38895407817,32.719274260797725
ARM,0.2,Earthquake,0.53381,606700.0,2518.3714525685136,6.191756468329244
ARM,0.2,Flood,0.53381,606700.0,2518.3714525685136,2.3884321189803708
ARM,0.4,Earthquake,0.53381,606700.0,7079.916433308786,51.930615107216624
ARM,0.4,Flood,0.53381,606700.0,7079.916433308786,16.246005366853854
ARM,0.6,Earthquake,0.53381,606700.0,9032.821844241358,42.323161190674895
ARM,0.6,Flood,0.53381,606700.0,9032.821844241358,22.261669545715193
ARM,0.8,Earthquake,0.53381,606700.0,13512.036680991818,7.589872142849362
ARM,0.8,Flood,0.53381,606700.0,13512.036680991818,6.017037315302246
ARM,1.0,Earthquake,0.53381,606700.0,24856.506017807387,4.0245551588753115
ARM,1.0,Flood,0.53381,606700.0,24856.506017807387,12.035099980201666
AUS,0.2,Earthquake,0.62591,5440961.800000001,9934.953268974443,3.547575282486064
AUS,0.2,Flood,0.62591,5440961.800000001,9934.953268974443,0.8966502398112174
AUS,0.2,Storm surge,0.62591,5440961.800000001,9934.953268974443,0.23790094160995334
AUS,0.2,Tsunami,0.62591,5440961.800000001,9934.953268974443,1.508270467382597
AUS,0.2,Wind,0.62591,5440961.800000001,9934.953268974443,1.328896199321798
AUS,0.4,Earthquake,0.62591,5440961.800000001,19320.05176834134,1.35281716388133
AUS,0.4,Flood,0.62591,5440961.800000001,19320.05176834134,2.504942425052966
AUS,0.4,Storm surge,0.62591,5440961.800000001,19320.05176834134,0.6473296682451366
AUS,0.4,Tsunami,0.62591,5440961.800000001,19320.05176834134,4.326261765183443
AUS,0.4,Wind,0.62591,5440961.800000001,19320.05176834134,3.6159332956721877
AUS,0.6,Earthquake,0.62591,5440961.800000001,26461.746166029905,2.0922452734636323
AUS,0.6,Flood,0.62591,5440961.800000001,26461.746166029905,3.836348112583149
AUS,0.6,Storm surge,0.62591,5440961.800000001,26461.746166029905,0.991392826499314
AUS,0.6,Tsunami,0.62591,5440961.800000001,26461.746166029905,6.646520978030951
AUS,0.6,Wind,0.62591,5440961.800000001,26461.746166029905,4.869443782010176
AUS,0.8,Earthquake,0.62591,5440961.800000001,40241.09970083106,3.9515454531475958
AUS,0.8,Flood,0.62591,5440961.800000001,40241.09970083106,1.0391123405765321
AUS,0.8,Storm surge,0.62591,5440961.800000001,40241.09970083106,0.26852842602983623
AUS,0.8,Tsunami,0.62591,5440961.800000001,40241.09970083106,1.5754293250008202
AUS,0.8,Wind,0.62591,5440961.800000001,40241.09970083106,1.4875199169981081
AUS,1.0,Earthquake,0.62591,5440961.800000001,85099.11013971057,2.4498483196364154
AUS,1.0,Flood,0.62591,5440961.800000001,85099.11013971057,2.8916730526704244
AUS,1.0,Storm surge,0.62591,5440961.800000001,85099.11013971057,0.7472689747825115
AUS,1.0,Tsunami,0.62591,5440961.800000001,85099.11013971057,4.373226376814369
AUS,1.0,Wind,0.62591,5440961.800000001,85099.11013971057,4.119473228541302
AUT,0.2,Earthquake,0.56715,1835696.4000000001,6351.213811228923,5.9303800608862165
AUT,0.2,Flood,0.56715,1835696.4000000001,6351.213811228923,0.051577027199044605
AUT,0.4,Earthquake,0.56715,1835696.4000000001,16917.321101943777,21.822659981699672
AUT,0.4,Flood,0.56715,1835696.4000000001,16917.321101943777,0.32083594880686356
AUT,0.6,Earthquake,0.56715,1835696.4000000001,24563.97648097469,8.841801895642844
AUT,0.6,Flood,0.56715,1835696.4000000001,24563.97648097469,0.08883058172580527
AUT,0.8,Earthquake,0.56715,1835696.4000000001,36223.436189992615,16.468826806067476
AUT,0.8,Flood,0.56715,1835696.4000000001,36223.436189992615,0.15564083499622203
AUT,1.0,Earthquake,0.56715,1835696.4000000001,79085.06559883228,17.693007011099343
AUT,1.0,Flood,0.56715,1835696.4000000001,79085.06559883228,0.4889186046330223
AZE,0.2,Earthquake,0.58411,2040570.0,11554.903993975042,39.829632406144924
AZE,0.2,Flood,0.58411,2040570.0,11554.903993975042,0.029887864065880215
AZE,0.4,Earthquake,0.58411,2040570.0,15100.225986739848,40.06658094886923
AZE,0.4,Flood,0.58411,2040570.0,15100.225986739848,0.2793124954465364
AZE,0.6,Earthquake,0.58411,2040570.0,17967.62694827785,3.7345296280328584
AZE,0.6,Flood,0.58411,2040570.0,17967.62694827785,0.42091277663572924
AZE,0.8,Earthquake,0.58411,2040570.0,22553.780360184042,0.48775909702621134
AZE,0.8,Flood,0.58411,2040570.0,22553.780360184042,2.228100762725279
AZE,1.0,Earthquake,0.58411,2040570.0,40749.800162979445,1.9335399423364104
AZE,1.0,Flood,0.58411,2040570.0,40749.800162979445,10.160472483300492
BDI,0.2,Earthquake,0.78255,2809557.2,283.917078755967,1.0746730658047392
BDI,0.2,Flood,0.78255,2809557.2,283.917078755967,0.14604169350402516
BDI,0.4,Earthquake,0.78255,2809557.2,453.79270698819386,1.9375117629861578
BDI,0.4,Flood,0.78255,2809557.2,453.79270698819386,0.260664857146763
BDI,0.6,Earthquake,0.78255,2809557.2,624.1201634062439,2.866371109703631
BDI,0.6,Flood,0.78255,2809557.2,624.1201634062439,0.3847237830399582
BDI,0.8,Earthquake,0.78255,2809557.2,870.488506116677,3.7829624498711643
BDI,0.8,Flood,0.78255,2809557.2,870.488506116677,0.48986541253288496
BDI,1.0,Earthquake,0.78255,2809557.2,1857.6601632852012,7.015803230121097
BDI,1.0,Flood,0.78255,2809557.2,1857.6601632852012,1.0432954377876882
BEL,0.2,Earthquake,0.50671,2375368.8000000003,8127.668367913292,7.501171110188499
BEL,0.2,Flood,0.50671,2375368.8000000003,8127.668367913292,0.09642302174771317
BEL,0.4,Earthquake,0.50671,2375368.8000000003,18801.338279187432,36.770821978662106
BEL,0.4,Flood,0.50671,2375368.8000000003,18801.338279187432,0.4437859190675401
BEL,0.6,Earthquake,0.50671,2375368.8000000003,25491.19016723011,9.17448647055821
BEL,0.6,Flood,0.50671,2375368.8000000003,25491.19016723011,0.4246990463729402
BEL,0.8,Earthquake,0.50671,2375368.8000000003,35139.51642043319,9.80754652719439
BEL,0.8,Flood,0.50671,2375368.8000000003,35139.51642043319,0.16541568608505963
BEL,1.0,Earthquake,0.50671,2375368.8000000003,72685.51695401578,3.896962129948454
BEL,1.0,Flood,0.50671,2375368.8000000003,72685.51695401578,0.4834978842394537
BEN,0.2,Earthquake,0.7463500000000001,2892544.8000000003,1435.2966731060283,0.3366907510274285
BEN,0.2,Flood,0.7463500000000001,2892544.8000000003,1435.2966731060283,1.3055885861105134
BEN,0.4,Earthquake,0.7463500000000001,2892544.8000000003,2251.2803076804853,0.5714370311254069
BEN,0.4,Flood,0.7463500000000001,2892544.8000000003,2251.2803076804853,2.327217138822741
BEN,0.6,Earthquake,0.7463500000000001,2892544.8000000003,3044.003549544251,0.5616050989053564
BEN,0.6,Flood,0.7463500000000001,2892544.8000000003,3044.003549544251,2.866952100822277
BEN,0.8,Earthquake,0.7463500000000001,2892544.8000000003,4130.366761484933,0.3068281657491313
BEN,0.8,Flood,0.7463500000000001,2892544.8000000003,4130.366761484933,2.740281618553784
BEN,1.0,Earthquake,0.7463500000000001,2892544.8000000003,7795.232057537144,0.4663295919440795
BEN,1.0,Flood,0.7463500000000001,2892544.8000000003,7795.232057537144,4.7995742137564905
BFA,0.2,Earthquake,0.47127,4709756.2,897.8432119870055,0.031759498673450404
BFA,0.2,Flood,0.47127,4709756.2,897.8432119870055,0.22531939859213618
BFA,0.4,Earthquake,0.47127,4709756.2,1309.3473008741191,0.05011192522980144
BFA,0.4,Flood,0.47127,4709756.2,1309.3473008741191,0.35337278625660473
BFA,0.6,Earthquake,0.47127,4709756.2,1784.4047656140735,0.07476923645757282
BFA,0.6,Flood,0.47127,4709756.2,1784.4047656140735,0.5551369513702641
BFA,0.8,Earthquake,0.47127,4709756.2,2513.675402138964,0.049053300074973105
BFA,0.8,Flood,0.47127,4709756.2,2513.675402138964,0.41086819030919564
BFA,1.0,Earthquake,0.47127,4709756.2,5267.507199209935,0.08120407698780605
BFA,1.0,Flood,0.47127,4709756.2,5267.507199209935,1.3071771036865059
BGD,0.2,Earthquake,0.5792499999999999,34712472.800000004,3446.664369783231,5.088926542798047
BGD,0.2,Flood,0.5792499999999999,34712472.800000004,3446.664369783231,9.878614600123322
BGD,0.2,Storm surge,0.5792499999999999,34712472.800000004,3446.664369783231,0.9232430535569366
BGD,0.2,Tsunami,0.5792499999999999,34712472.800000004,3446.664369783231,0.18148837499356293
BGD,0.2,Wind,0.5792499999999999,34712472.800000004,3446.664369783231,0.8575991551646767
BGD,0.4,Earthquake,0.5792499999999999,34712472.800000004,5061.713242736311,6.608566432678553
BGD,0.4,Flood,0.5792499999999999,34712472.800000004,5061.713242736311,19.017821317821635
BGD,0.4,Storm surge,0.5792499999999999,34712472.800000004,5061.713242736311,2.243190147262894
BGD,0.4,Tsunami,0.5792499999999999,34712472.800000004,5061.713242736311,0.30693793906831407
BGD,0.4,Wind,0.5792499999999999,34712472.800000004,5061.713242736311,1.681291047094899
BGD,0.6,Earthquake,0.5792499999999999,34712472.800000004,6463.631261947288,6.236230352101401
BGD,0.6,Flood,0.5792499999999999,34712472.800000004,6463.631261947288,15.734164861307463
BGD,0.6,Storm surge,0.5792499999999999,34712472.800000004,6463.631261947288,2.155582638059715
BGD,0.6,Tsunami,0.5792499999999999,34712472.800000004,6463.631261947288,0.27020344456583306
BGD,0.6,Wind,0.5792499999999999,34712472.800000004,6463.631261947288,1.6307829730665626
BGD,0.8,Earthquake,0.5792499999999999,34712472.800000004,8577.11712163627,6.031447499928231
BGD,0.8,Flood,0.5792499999999999,34712472.800000004,8577.11712163627,15.12361680650637
BGD,0.8,Storm surge,0.5792499999999999,34712472.800000004,8577.11712163627,1.996641922703842
BGD,0.8,Tsunami,0.5792499999999999,34712472.800000004,8577.11712163627,0.24188426584591588
BGD,0.8,Wind,0.5792499999999999,34712472.800000004,8577.11712163627,1.546308861895321
BGD,1.0,Earthquake,0.5792499999999999,34712472.800000004,15306.077907223013,6.138468793794122
BGD,1.0,Flood,0.5792499999999999,34712472.800000004,15306.077907223013,12.983418454737787
BGD,1.0,Storm surge,0.5792499999999999,34712472.800000004,15306.077907223013,1.3810210558441312
BGD,1.0,Tsunami,0.5792499999999999,34712472.800000004,15306.077907223013,0.1653080538200398
BGD,1.0,Wind,0.5792499999999999,34712472.800000004,15306.077907223013,1.2858384653268016
BGR,0.2,Earthquake,0.52381,1288873.2000000002,4872.973429808635,5.696347742963092
BGR,0.2,Flood,0.52381,1288873.2000000002,4872.973429808635,1.1598958823649204
BGR,0.4,Earthquake,0.52381,1288873.2000000002,11657.774184994854,3.5803026108551483
BGR,0.4,Flood,0.52381,1288873.2000000002,11657.774184994854,4.456764524969294
BGR,0.6,Earthquake,0.52381,1288873.2000000002,18464.274084687026,7.479750833311618
