iso3,hazard,rp,income_cat,di,dy
AGO,Earthquake,10.0,0.2,1.2837223539431704,1.3284095336163904
AGO,Earthquake,10.0,0.4,2.750686720360291,2.844901100566034
AGO,Earthquake,10.0,0.6,1.72839413912366,1.7638210798965346
AGO,Earthquake,10.0,0.8,0.7827225203780834,0.7570146820188899
AGO,Earthquake,10.0,1.0,2.176932273255735,2.030766094676313
AGO,Earthquake,10.0,tot,1.744491601412188,1.7449824981548325
AGO,Earthquake,25.0,0.2,3.1623514755973514,3.272434912366847
AGO,Earthquake,25.0,0.4,6.776105582580271,7.008195475968005
AGO,Earthquake,25.0,0.6,4.257766283715807,4.345037832804964
AGO,Earthquake,25.0,0.8,1.9281768442356557,1.8648475578678554
AGO,Earthquake,25.0,1.0,5.362705545681051,5.00263638501461
AGO,Earthquake,25.0,tot,4.297421146362027,4.2986304328044564
AGO,Earthquake,50.0,0.2,6.369871698895643,6.591610924850172
AGO,Earthquake,50.0,0.4,13.648996170184898,14.11649096160775
AGO,Earthquake,50.0,0.6,8.576347430207917,8.752137052250657
AGO,Earthquake,50.0,0.8,3.883894375859344,3.756331253271973
AGO,Earthquake,50.0,1.0,10.802008109643678,10.076726820111206
AGO,Earthquake,50.0,tot,8.656223556958295,8.658659402418351
AGO,Earthquake,100.0,0.2,12.734261506732295,13.177549130578019
AGO,Earthquake,100.0,0.4,27.28624605824572,28.22083331658034
AGO,Earthquake,100.0,0.6,17.145314083452142,17.496742043555432
AGO,Earthquake,100.0,0.8,7.764446284733352,7.509429819971095
AGO,Earthquake,100.0,1.0,21.594720045913707,20.14478164159043
AGO,Earthquake,100.0,tot,17.304997595815443,17.309867190455062
AGO,Earthquake,250.0,0.2,31.794634324821256,32.90142547195159
AGO,Earthquake,250.0,0.4,68.12772103512731,70.46117870031486
AGO,Earthquake,250.0,0.6,42.8080569398839,43.68549482484456
AGO,Earthquake,250.0,0.8,19.38610497572232,18.749385269625805
AGO,Earthquake,250.0,1.0,53.91723947585962,50.297063988290624
AGO,Earthquake,250.0,tot,43.20675135028288,43.21890965100549
AGO,Earthquake,500.0,0.2,59.28932944247013,61.353228158077954
AGO,Earthquake,500.0,0.4,127.04177866461663,131.39311476862568
AGO,Earthquake,500.0,0.6,79.82670801530163,81.46291817879221
AGO,Earthquake,500.0,0.8,36.15041307817809,34.96308429711402
AGO,Earthquake,500.0,1.0,100.54265575928308,93.79190105868678
AGO,Earthquake,500.0,tot,80.57017699196992,80.59284929225933
AGO,Earthquake,1000.0,0.2,88.6104469862754,91.69503217966788
AGO,Earthquake,1000.0,0.4,189.86938963994035,196.3726481653702
AGO,Earthquake,1000.0,0.6,119.30444053246283,121.74982683238834
AGO,Earthquake,1000.0,0.8,54.02834357747466,52.25382976530806
AGO,Earthquake,1000.0,1.0,150.26531336742542,140.17602078915507
AGO,Earthquake,1000.0,tot,120.41558682071573,120.44947154637791
AGO,Earthquake,2500.0,0.2,150.01718211298814,155.23937424087404
AGO,Earthquake,2500.0,0.4,321.4482239064718,332.4582182324047
AGO,Earthquake,2500.0,0.6,201.9820076634841,206.122038262239
AGO,Earthquake,2500.0,0.8,91.46979993206085,88.46555414868237
AGO,Earthquake,2500.0,1.0,254.3986589323692,237.3175212834415
AGO,Earthquake,2500.0,tot,203.86317450947482,203.92054123352833
AGO,Earthquake,5000.0,0.2,222.6391233191465,230.3893307339278
AGO,Earthquake,5000.0,0.4,477.05835928268345,493.3981908269677
AGO,Earthquake,5000.0,0.6,299.75964405577196,305.90382547578434
AGO,Earthquake,5000.0,0.8,135.7494906930973,131.29091709488864
AGO,Earthquake,5000.0,1.0,377.550715194814,352.20075555761224
AGO,Earthquake,5000.0,tot,302.5514665091026,302.6366039378362
AGO,Earthquake,AAL,0.2,1.032971866861066,1.068930264929006
AGO,Earthquake,AAL,0.4,2.213392941201597,2.289204353153213
