iso3,income_cat,hazard,JEL,JEL_adj,JEL_pop_rel,JEL_adj_pop_rel
AGO,0.2,Earthquake,3653.6253245224207,3964.1834771068266,9.643773126273138e-05,0.00010463493842006355
AGO,0.2,Flood,2085.239728893108,2262.485105849022,5.504006862544133e-05,5.971847445860385e-05
AGO,0.2,all_hazards,5738.865053415529,6226.668582955848,0.00015147779988817272,0.0001643534128786674
AGO,0.4,Earthquake,3876.6248286618597,4206.137939098118,0.00010232382092484875,0.0001110213457034609
AGO,0.4,Flood,2113.0707008865434,2292.6817104618995,5.5774669346503054e-05,6.051551624095581e-05
AGO,0.4,all_hazards,5989.695529548403,6498.819649560017,0.0001580984902713518,0.00017153686194441669
AGO,0.6,Earthquake,1481.0066184135846,1606.8921809787394,3.90912875784725e-05,4.241404702264266e-05
AGO,0.6,Flood,1179.49306525873,1279.749975805722,3.1132813343017075e-05,3.377910247717352e-05
AGO,0.6,all_hazards,2660.499683672315,2886.642156784462,7.022410092148957e-05,7.61931494998162e-05
AGO,0.8,Earthquake,393.85391751072694,427.33150049913877,1.0395805502754524e-05,1.1279448970488659e-05
AGO,0.8,Flood,639.9144537723796,694.3071823430319,1.6890592943354117e-05,1.8326293343539215e-05
AGO,0.8,all_hazards,1033.7683712831065,1121.6386828421705,2.728639844610864e-05,2.9605742314027872e-05
AGO,1.0,Earthquake,393.93358849226803,427.4179435141108,1.0397908424653965e-05,1.1281730640749553e-05
AGO,1.0,Flood,659.013130854696,715.0292469773451,1.739470404516198e-05,1.887325388900075e-05
AGO,1.0,all_hazards,1052.946719346964,1142.447190491456,2.7792612469815947e-05,3.0154984529750304e-05
AGO,total,Earthquake,9799.04427760086,10631.963041196934,0.0002586465536934611,0.0002806315107574053
AGO,total,Flood,6676.7310796654565,7244.25322143702,0.00017623284830347756,0.00019121264040927315
AGO,total,all_hazards,16475.775357266317,17876.216262633952,0.00043487940199693866,0.0004718441511666784
ALB,0.2,Earthquake,3377.381478301127,3547.0948975857586,0.001244146588008963,0.0013066649540564134
ALB,0.2,Flood,1641.0045143751145,1723.4649912224638,0.0006045068289099768,0.000634883297062703
ALB,0.2,Tsunami,67.07422776311614,70.44470770821273,2.470854185438172e-05,2.5950146082564404e-05
ALB,0.2,all_hazards,5085.460220439358,5341.004596516435,0.0018733619587733214,0.001967498397201681
ALB,0.4,Earthquake,962.5134786674548,1010.8797809704944,0.00035456695315304326,0.00037238394254898363
ALB,0.4,Flood,2053.0360643866775,2156.201126622108,0.0007562894008203285,0.0007942929432115499
ALB,0.4,Tsunami,83.01624671323118,87.18781311057106,3.058120048361562e-05,3.2117905807917304e-05
ALB,0.4,all_hazards,3098.5657897673636,3254.2687207031736,0.0011414375544569874,0.001198794791568451
ALB,0.6,Earthquake,485.676756849234,510.08201388090794,0.00017891170535262765,0.00018790201854659716
ALB,0.6,Flood,1916.4975393122606,2012.8015406627014,0.0007059918726333256,0.0007414679642331501
ALB,0.6,Tsunami,89.73446275364569,94.24361950701638,3.3056030649497036e-05,3.4717096189634254e-05
ALB,0.6,all_hazards,2491.9087589151404,2617.1271740506263,0.0009179596086354504,0.0009640870789693818
ALB,0.8,Earthquake,500.65655472366257,525.8145465985266,0.00018442990474297575,0.00019369750745631026
ALB,0.8,Flood,290.1606369537561,304.74120896068234,0.00010688824130761581,0.0001122593754333235
ALB,0.8,Tsunami,12.913077956818345,13.561960124148467,4.7568691851625275e-06,4.9959018617169445e-06
ALB,0.8,all_hazards,803.7302696342371,844.1177156833573,0.0002960750152357541,0.0003109527847513507
ALB,1.0,Earthquake,81.11258222827227,85.18848948524295,2.9879936001385194e-05,3.13814027854548e-05
ALB,1.0,Flood,242.45437267897748,254.63770490609608,8.931439414067528e-05,9.38024424462442e-05
ALB,1.0,Tsunami,10.756316003408052,11.296820882579308,3.962369646770816e-06,4.16147872152105e-06
ALB,1.0,all_hazards,334.3232709106578,351.1230152739184,0.0001231566997888313,0.00012934532395322007
ALB,total,Earthquake,5407.34085076975,5679.059728520931,0.0019919350872589945,0.0020920298253937594
ALB,total,Flood,6143.153127706786,6451.846572374052,0.002262990737811922,0.002376706022386971
ALB,total,Tsunami,263.4943311902194,276.7349213325279,9.706501181942771e-05,0.00010194252866335395
ALB,total,all_hazards,11813.988309666756,12407.64122222751,0.004351990836890344,0.004570678376444084
ARG,0.2,Earthquake,1218.8386187110893,1110.6666913004804,2.6672671081853714e-05,2.4305471523339202e-05
ARG,0.2,Flood,1003.1617744016258,914.1311669234816,2.1952868607657503e-05,2.00045515187279e-05
ARG,0.2,all_hazards,2222.0003931127153,2024.7978582239618,4.8625539689511217e-05,4.4310023042067096e-05
ARG,0.4,Earthquake,941.661489096013,858.089031938742,2.0607016206679713e-05,1.8778143518336892e-05
ARG,0.4,Flood,727.5860730768088,663.012809091242,1.592225887249755e-05,1.4509158397563394e-05
ARG,0.4,all_hazards,1669.2475621728217,1521.101841029984,3.652927507917726e-05,3.328730191590028e-05
ARG,0.6,Earthquake,860.402880941947,784.0421252583493,1.882877904337533e-05,1.715772490327577e-05
ARG,0.6,Flood,640.9233321592875,584.0413864301507,1.4025759411404522e-05,1.2780973263642372e-05
ARG,0.6,all_hazards,1501.3262131012345,1368.0835116885,3.2854538454779856e-05,2.9938698166918145e-05
ARG,0.8,Earthquake,2663.135876343337,2426.782567317866,5.8279206275156226e-05,5.310692671823612e-05
ARG,0.8,Flood,2158.908438616488,1967.305314689275,4.7244855713507306e-05,4.305187476893354e-05
