iso3,hazard,JEL,h_week,JEL_adj,pop,JEL_pop_share,JEL_adj_pop_share
AGO,Earthquake,9799.04427760086,43.4,10631.963041196934,37885849.0,0.0002586465536934611,0.0002806315107574053
AGO,Flood,6676.731079665457,43.4,7244.25322143702,37885849.0,0.00017623284830347758,0.00019121264040927315
AGO,all_hazards,16475.775357266317,43.4,17876.216262633952,37885849.0,0.00043487940199693866,0.0004718441511666784
ALB,Earthquake,5407.34085076975,42.01,5679.059728520931,2714617.0,0.0019919350872589945,0.0020920298253937594
ALB,Flood,6143.153127706786,42.01,6451.846572374052,2714617.0,0.002262990737811922,0.002376706022386971
ALB,Tsunami,263.49433119021944,42.01,276.73492133252796,2714617.0,9.706501181942773e-05,0.00010194252866335397
ALB,all_hazards,11813.988309666756,42.01,12407.64122222751,2714617.0,0.004351990836890344,0.004570678376444084
ARG,Earthquake,14565.393105377243,36.45,13272.714467275015,45696159.0,0.0003187443632927057,0.00029045580105047813
ARG,Flood,7734.4170916527455,36.45,7047.9875747685655,45696159.0,0.00016925748817647334,0.00015423588610081134
ARG,all_hazards,22299.81019702999,36.45,20320.70204204358,45696159.0,0.0004880018514691791,0.00044469168715128947
ARM,Earthquake,4923.573144735888,38.8,4775.865950393811,3033500.0,0.0016230668022864307,0.0015743747982178377
ARM,Flood,2149.5039523606647,38.8,2085.0188337898444,3033500.0,0.0007085887431549908,0.000687331080860341
ARM,all_hazards,7073.077097096552,38.8,6860.884784183656,3033500.0,0.0023316555454414214,0.002261705879078179
AUS,Earthquake,2156.236893821455,32.29,1740.6222325373697,27204809.0,7.925940203518632e-05,6.398215229290416e-05
AUS,Flood,1446.292140977545,32.29,1167.519330804123,27204809.0,5.316310586769953e-05,4.291591721170044e-05
AUS,Storm surge,375.87328187692583,32.29,303.4237067951484,27204809.0,1.3816427892470255e-05,1.1153311416196615e-05
AUS,Tsunami,2443.3299032928603,32.29,1972.3780644331614,27204809.0,8.98124262990731e-05,7.250108112992675e-05
AUS,Wind,2010.3338884746963,32.29,1622.8420314711987,27204809.0,7.38962691660396e-05,5.965276328428546e-05
AUS,all_hazards,8432.066108443483,32.29,6806.785366041002,27204809.0,0.0003099476312604688,0.00025020522533501343
