iso3,hazard,income_cat,delta_l,l_baseline,N_q,EPR,JEL
AGO,Earthquake,0.2,1.0294377547715752,1372.886387756069,7577169.800000001,0.64306,3653.6253245224207
AGO,Earthquake,0.4,2.204627755184464,2771.022253537914,7577169.800000001,0.64306,3876.6248286618597
AGO,Earthquake,0.6,1.366855705368392,4497.013448992893,7577169.800000001,0.64306,1481.0066184135846
AGO,Earthquake,0.8,0.5866410430625977,7257.646154535641,7577169.800000001,0.64306,393.85391751072694
AGO,Earthquake,1.0,1.5737221064456721,19465.40970434893,7577169.800000001,0.64306,393.933588492268
AGO,Flood,0.2,0.5875327418672309,1372.886387756069,7577169.800000001,0.64306,2085.2397288931083
AGO,Flood,0.4,1.2016985191341314,2771.022253537914,7577169.800000001,0.64306,2113.0707008865434
AGO,Flood,0.6,1.0885817832592073,4497.013448992893,7577169.800000001,0.64306,1179.49306525873
AGO,Flood,0.8,0.9531454834942371,7257.646154535641,7577169.800000001,0.64306,639.9144537723795
AGO,Flood,1.0,2.6326862262073027,19465.40970434893,7577169.800000001,0.64306,659.013130854696
AGO,all_hazards,0.2,1.616970496638806,2745.772775512138,15154339.600000001,1.28612,5738.8650534155295
AGO,all_hazards,0.4,3.4063262743185954,5542.044507075828,15154339.600000001,1.28612,5989.695529548403
AGO,all_hazards,0.6,2.4554374886275996,8994.026897985786,15154339.600000001,1.28612,2660.499683672315
AGO,all_hazards,0.8,1.539786526556835,14515.292309071281,15154339.600000001,1.28612,1033.7683712831065
AGO,all_hazards,1.0,4.206408332652975,38930.81940869786,15154339.600000001,1.28612,1052.946719346964
ALB,Earthquake,0.2,71.50238664082356,5990.205520315545,542923.4,0.52115,3377.381478301127
ALB,Earthquake,0.4,34.03060796641057,10003.781336068178,542923.4,0.52115,962.5134786674547
ALB,Earthquake,0.6,22.871411672642864,13324.378267710443,542923.4,0.52115,485.676756849234
ALB,Earthquake,0.8,31.189593685346885,17626.704055148737,542923.4,0.52115,500.6565547236626
ALB,Earthquake,1.0,8.577980589015564,29922.517797616558,542923.4,0.52115,81.11258222827227
ALB,Flood,0.2,34.74163046728377,5990.205520315545,542923.4,0.52115,1641.0045143751145
ALB,Flood,0.4,72.58710344999122,10003.781336068178,542923.4,0.52115,2053.036064386677
ALB,Flood,0.6,90.25139369563165,13324.378267710443,542923.4,0.52115,1916.497539312261
ALB,Flood,0.8,18.076248647267278,17626.704055148737,542923.4,0.52115,290.1606369537561
ALB,Flood,1.0,25.64052142624672,29922.517797616558,542923.4,0.52115,242.45437267897748
ALB,Tsunami,0.2,1.4200253652025814,5990.205520315545,542923.4,0.52115,67.07422776311614
ALB,Tsunami,0.4,2.935120815816494,10003.781336068178,542923.4,0.52115,83.01624671323121
ALB,Tsunami,0.6,4.225760878853771,13324.378267710443,542923.4,0.52115,89.73446275364569
ALB,Tsunami,0.8,0.804450977222646,17626.704055148737,542923.4,0.52115,12.913077956818345
ALB,Tsunami,1.0,1.1375235179529442,29922.517797616558,542923.4,0.52115,10.756316003408052
ALB,all_hazards,0.2,107.6640424733099,17970.616560946633,1628770.2000000002,1.56345,5085.460220439358
ALB,all_hazards,0.4,109.55283223221828,30011.344008204534,1628770.2000000002,1.56345,3098.565789767363
ALB,all_hazards,0.6,117.34856624712829,39973.134803131325,1628770.2000000002,1.56345,2491.908758915141
ALB,all_hazards,0.8,50.070293309836806,52880.11216544621,1628770.2000000002,1.56345,803.7302696342371
ALB,all_hazards,1.0,35.35602553321523,89767.55339284967,1628770.2000000002,1.56345,334.3232709106578
ARG,Earthquake,0.2,1.1279679688018411,4659.009618554573,9139231.8,0.5508500000000001,1218.8386187110893
ARG,Earthquake,0.4,1.8852289629166592,10078.881520809613,9139231.8,0.5508500000000001,941.6614890960132
ARG,Earthquake,0.6,2.7217680937062343,15925.471863727505,9139231.8,0.5508500000000001,860.4028809419468
ARG,Earthquake,0.8,12.487926889607312,23606.960241229706,9139231.8,0.5508500000000001,2663.135876343337
ARG,Earthquake,1.0,90.70106321183901,51413.38895407817,9139231.8,0.5508500000000001,8881.354240284856
ARG,Flood,0.2,0.9283709358077608,4659.009618554573,9139231.8,0.5508500000000001,1003.1617744016258
ARG,Flood,0.4,1.4566448281706674,10078.881520809613,9139231.8,0.5508500000000001,727.5860730768088
ARG,Flood,0.6,2.027474238665099,15925.471863727505,9139231.8,0.5508500000000001,640.9233321592875
ARG,Flood,0.8,10.123513029240279,23606.960241229706,9139231.8,0.5508500000000001,2158.9084386164895
ARG,Flood,1.0,32.719274260797725,51413.38895407817,9139231.8,0.5508500000000001,3203.8374733985343
ARG,all_hazards,0.2,2.0563389046096017,9318.019237109145,18278463.6,1.1017000000000001,2222.0003931127153
ARG,all_hazards,0.4,3.341873791087327,20157.763041619226,18278463.6,1.1017000000000001,1669.247562172822
ARG,all_hazards,0.6,4.749242332371333,31850.94372745501,18278463.6,1.1017000000000001,1501.3262131012343
ARG,all_hazards,0.8,22.61143991884759,47213.92048245941,18278463.6,1.1017000000000001,4822.044314959827
ARG,all_hazards,1.0,123.42033747263673,102826.77790815633,18278463.6,1.1017000000000001,12085.19171368339
ARM,Earthquake,0.2,6.191756468329244,2518.3714525685136,606700.0,0.53381,796.259779055429
ARM,Earthquake,0.4,51.930615107216624,7079.916433308786,606700.0,0.53381,2375.5054732231515
ARM,Earthquake,0.6,42.323161190674895,9032.821844241358,606700.0,0.53381,1517.453368415405
ARM,Earthquake,0.8,7.589872142849362,13512.036680991818,606700.0,0.53381,181.91744367065104
ARM,Earthquake,1.0,4.0245551588753115,24856.506017807387,606700.0,0.53381,52.43708037125079
ARM,Flood,0.2,2.3884321189803708,2518.3714525685136,606700.0,0.53381,307.15233085731757
ARM,Flood,0.4,16.246005366853854,7079.916433308786,606700.0,0.53381,743.1545840020476
ARM,Flood,0.6,22.261669545715193,9032.821844241358,606700.0,0.53381,798.1692408680278
ARM,Flood,0.8,6.017037315302246,13512.036680991818,606700.0,0.53381,144.21903640392148
ARM,Flood,1.0,12.035099980201666,24856.506017807387,606700.0,0.53381,156.80876022935033
ARM,all_hazards,0.2,8.580188587309614,5036.742905137027,1213400.0,1.06762,1103.4121099127465
ARM,all_hazards,0.4,68.17662047407048,14159.832866617571,1213400.0,1.06762,3118.660057225199
ARM,all_hazards,0.6,64.58483073639009,18065.643688482716,1213400.0,1.06762,2315.622609283433
ARM,all_hazards,0.8,13.606909458151609,27024.073361983636,1213400.0,1.06762,326.13648007457255
ARM,all_hazards,1.0,16.059655139076977,49713.012035614775,1213400.0,1.06762,209.24584060060113
AUS,Earthquake,0.2,3.547575282486064,9934.953268974443,5440961.800000001,0.62591,1216.0553946463153
AUS,Earthquake,0.4,1.3528171638813296,19320.05176834134,5440961.800000001,0.62591,238.4615628767931
AUS,Earthquake,0.6,2.0922452734636323,26461.746166029905,5440961.800000001,0.62591,269.2660895552569
AUS,Earthquake,0.8,3.9515454531475958,40241.09970083106,5440961.800000001,0.62591,334.4141984851978
AUS,Earthquake,1.0,2.4498483196364154,85099.11013971057,5440961.800000001,0.62591,98.03964825789188
AUS,Flood,0.2,0.8966502398112174,9934.953268974443,5440961.800000001,0.62591,307.35820226744596
AUS,Flood,0.4,2.504942425052966,19320.05176834134,5440961.800000001,0.62591,441.54709264681753
AUS,Flood,0.6,3.836348112583149,26461.746166029905,5440961.800000001,0.62591,493.72722574627466
AUS,Flood,0.8,1.0391123405765321,40241.09970083106,5440961.800000001,0.62591,87.9387380532807
AUS,Flood,1.0,2.8916730526704244,85099.11013971057,5440961.800000001,0.62591,115.72088226372614
