iso3,hazard,rp,income_cat,fa,v,v_ew
AGO,Earthquake,10.0,0.2,0.0001779007713898,0.7000000000000001,0.7000000000000001
AGO,Earthquake,10.0,0.4,0.0001779007713898,0.7000000000000001,0.7000000000000001
AGO,Earthquake,10.0,0.6,0.0001779007713898,0.5193570183533321,0.5193570183533321
AGO,Earthquake,10.0,0.8,0.0001779007713898,0.2920970310302768,0.2920970310302768
AGO,Earthquake,10.0,1.0,0.0001779007713898,0.2881162798465996,0.2881162798465996
AGO,Earthquake,25.0,0.2,0.0004382448939886,0.7000000000000001,0.7000000000000001
AGO,Earthquake,25.0,0.4,0.0004382448939886,0.7000000000000001,0.7000000000000001
AGO,Earthquake,25.0,0.6,0.0004382448939886,0.5193570183533321,0.5193570183533321
AGO,Earthquake,25.0,0.8,0.0004382448939886,0.2920970310302768,0.2920970310302768
AGO,Earthquake,25.0,1.0,0.0004382448939886,0.2881162798465996,0.2881162798465996
AGO,Earthquake,50.0,0.2,0.0008827493619689,0.7000000000000001,0.7000000000000001
AGO,Earthquake,50.0,0.4,0.0008827493619689,0.7000000000000001,0.7000000000000001
AGO,Earthquake,50.0,0.6,0.0008827493619689,0.5193570183533321,0.5193570183533321
AGO,Earthquake,50.0,0.8,0.0008827493619689,0.2920970310302768,0.2920970310302768
AGO,Earthquake,50.0,1.0,0.0008827493619689,0.2881162798465996,0.2881162798465996
AGO,Earthquake,100.0,0.2,0.0017647390326807,0.7000000000000001,0.7000000000000001
AGO,Earthquake,100.0,0.4,0.0017647390326807,0.7000000000000001,0.7000000000000001
AGO,Earthquake,100.0,0.6,0.0017647390326807,0.5193570183533321,0.5193570183533321
AGO,Earthquake,100.0,0.8,0.0017647390326807,0.2920970310302768,0.2920970310302768
AGO,Earthquake,100.0,1.0,0.0017647390326807,0.2881162798465996,0.2881162798465996
AGO,Earthquake,250.0,0.2,0.0044061630266626,0.7000000000000001,0.7000000000000001
AGO,Earthquake,250.0,0.4,0.0044061630266626,0.7000000000000001,0.7000000000000001
AGO,Earthquake,250.0,0.6,0.0044061630266626,0.5193570183533321,0.5193570183533321
AGO,Earthquake,250.0,0.8,0.0044061630266626,0.2920970310302768,0.2920970310302768
AGO,Earthquake,250.0,1.0,0.0044061630266626,0.2881162798465996,0.2881162798465996
AGO,Earthquake,500.0,0.2,0.0082164320116455,0.7000000000000001,0.7000000000000001
AGO,Earthquake,500.0,0.4,0.0082164320116455,0.7000000000000001,0.7000000000000001
AGO,Earthquake,500.0,0.6,0.0082164320116455,0.5193570183533321,0.5193570183533321
AGO,Earthquake,500.0,0.8,0.0082164320116455,0.2920970310302768,0.2920970310302768
AGO,Earthquake,500.0,1.0,0.0082164320116455,0.2881162798465996,0.2881162798465996
AGO,Earthquake,1000.0,0.2,0.0122798102125731,0.7000000000000001,0.7000000000000001
AGO,Earthquake,1000.0,0.4,0.0122798102125731,0.7000000000000001,0.7000000000000001
AGO,Earthquake,1000.0,0.6,0.0122798102125731,0.5193570183533321,0.5193570183533321
AGO,Earthquake,1000.0,0.8,0.0122798102125731,0.2920970310302768,0.2920970310302768
AGO,Earthquake,1000.0,1.0,0.0122798102125731,0.2881162798465996,0.2881162798465996
AGO,Earthquake,2500.0,0.2,0.020789676472999,0.7000000000000001,0.7000000000000001
AGO,Earthquake,2500.0,0.4,0.020789676472999,0.7000000000000001,0.7000000000000001
AGO,Earthquake,2500.0,0.6,0.020789676472999,0.5193570183533321,0.5193570183533321
AGO,Earthquake,2500.0,0.8,0.020789676472999,0.2920970310302768,0.2920970310302768
AGO,Earthquake,2500.0,1.0,0.020789676472999,0.2881162798465996,0.2881162798465996
AGO,Earthquake,5000.0,0.2,0.0308537680740539,0.7000000000000001,0.7000000000000001
AGO,Earthquake,5000.0,0.4,0.0308537680740539,0.7000000000000001,0.7000000000000001
AGO,Earthquake,5000.0,0.6,0.0308537680740539,0.5193570183533321,0.5193570183533321
AGO,Earthquake,5000.0,0.8,0.0308537680740539,0.2920970310302768,0.2920970310302768
AGO,Earthquake,5000.0,1.0,0.0308537680740539,0.2881162798465996,0.2881162798465996
AGO,Flood,10.0,0.2,0.0008355077672052079,0.7000000000000001,0.6160000000000001
AGO,Flood,10.0,0.4,0.0008349934898308892,0.7000000000000001,0.6160000000000001
AGO,Flood,10.0,0.6,0.0008251853835139159,0.5730836680068498,0.5043136278460278
AGO,Flood,10.0,0.8,0.0008246888131551223,0.4406374970077953,0.38776099736685987
AGO,Flood,10.0,1.0,0.0008289666203788642,0.4406374970077953,0.38776099736685987
AGO,Flood,25.0,0.2,0.0017142499922266374,0.7000000000000001,0.6160000000000001
AGO,Flood,25.0,0.4,0.0017131948255130148,0.7000000000000001,0.6160000000000001
AGO,Flood,25.0,0.6,0.0016930710794060562,0.5730836680068498,0.5043136278460278
AGO,Flood,25.0,0.8,0.0016920522429964924,0.4406374970077953,0.38776099736685987
AGO,Flood,25.0,1.0,0.0017008292182537977,0.4406374970077953,0.38776099736685987
AGO,Flood,50.0,0.2,0.0023799048550613567,0.7000000000000001,0.6160000000000001
AGO,Flood,50.0,0.4,0.002378439959978354,0.7000000000000001,0.6160000000000001
AGO,Flood,50.0,0.6,0.00235050202719192,0.5730836680068498,0.5043136278460278
AGO,Flood,50.0,0.8,0.0023490875697156893,0.4406374970077953,0.38776099736685987
AGO,Flood,50.0,1.0,0.0023612727038106775,0.4406374970077953,0.38776099736685987
AGO,Flood,100.0,0.2,0.002640708156566383,0.7000000000000001,0.6160000000000001
