iso3,hazard,protection,ew
SLV,Flood,6.837692635697742,0.6018148665312423
SLV,Storm surge,3.0251943478290797,0.6018148665312423
SLV,Tsunami,0.0,0.6018148665312423
SLV,Wind,0.0,0.6018148665312423
SRB,Earthquake,0.0,0.4529391405030171
SRB,Flood,21.26178554505308,0.4529391405030171
SVK,Earthquake,0.0,0.722720016733458
SVK,Flood,100.74614547232144,0.722720016733458
SVN,Earthquake,0.0,0.8089815273683201
SVN,Flood,57.608665893106696,0.8089815273683201
SWE,Earthquake,0.0,0.781263006247547
SWE,Flood,59.402303049691064,0.781263006247547
SWZ,Earthquake,0.0,0.6000000000000001
SWZ,Flood,7.953169267803505,0.6000000000000001
TCD,Earthquake,0.0,0.6183853286347508
TCD,Flood,3.2084401258039295,0.6183853286347508
TGO,Earthquake,0.0,0.2213117947783162
TGO,Flood,2.2991256788186685,0.2213117947783162
TJK,Earthquake,0.0,0.4259505588243692
TJK,Flood,2.671368155445438,0.4259505588243692
TUN,Earthquake,0.0,0.4412589316497723
TUN,Flood,19.058606977586894,0.4412589316497723
TUN,Tsunami,0.0,0.4412589316497723
TUR,Earthquake,0.0,0.5318317477587753
TUR,Flood,18.00729535278936,0.5318317477587753
TUR,Tsunami,0.0,0.5318317477587753
TZA,Earthquake,0.0,0.6575202523180379
TZA,Flood,1.9703632875895465,0.6575202523180379
TZA,Storm surge,0.3599435473794071,0.6575202523180379
TZA,Tsunami,0.0,0.6575202523180379
TZA,Wind,0.0,0.6575202523180379
UGA,Earthquake,0.0,0.6377919103780404
UGA,Flood,1.50663089687735,0.6377919103780404
UKR,Earthquake,0.0,0.6969583965697432
UKR,Flood,9.340788575176685,0.6969583965697432
URY,Earthquake,0.0,0.6759697145688666
URY,Flood,46.43596688069285,0.6759697145688666
USA,Earthquake,0.0,0.8357908319441981
USA,Flood,448.39871245211253,0.8357908319441981
USA,Storm surge,175.29287474866808,0.8357908319441981
USA,Tsunami,0.0,0.8357908319441981
USA,Wind,0.0,0.8357908319441981
UZB,Earthquake,0.0,0.3943439339526184
UZB,Flood,8.97591872821747,0.3943439339526184
VNM,Earthquake,0.0,0.8758079182053924
VNM,Flood,18.59816155622776,0.8758079182053924
VNM,Storm surge,3.80198629833312,0.8758079182053924
VNM,Tsunami,0.0,0.8758079182053924
VNM,Wind,0.0,0.8758079182053924
ZAF,Earthquake,0.0,0.5776672967286375
ZAF,Flood,99.4229688898665,0.5776672967286375
ZAF,Tsunami,0.0,0.5776672967286375
ZMB,Earthquake,0.0,0.6888500976994525
ZMB,Flood,6.500740358943688,0.6888500976994525
ZWE,Earthquake,0.0,0.7609969029767572
ZWE,Flood,2.112425166201667,0.7609969029767572
