iso3,hazard,rp,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,prepare_scaleup,finance_pre,borrowing_ability,avg_prod_k,tau_tax,k_priv_share,k_household_share,owner_occupied_share_of_value_added,self_employment,real_est_k_to_va_shares_ratio,rho,income_elasticity_eta,dk_ctry,fa,error_incl,error_excl,need,aid
AGO,Earthquake,10.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,2.7869768608745087,0.0001779007713898,0,0,0.0,0.0
AGO,Earthquake,25.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,6.865503557971971,0.00043824489398860007,0,0,0.0,0.0
AGO,Earthquake,50.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,13.829069017179744,0.0008827493619689002,0,0,0.0,0.0
AGO,Earthquake,100.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,27.646236782114173,0.0017647390326807001,0,0,0.0,0.0
AGO,Earthquake,250.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,69.02653824722836,0.0044061630266626,0,0,0.0,0.0
AGO,Earthquake,500.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,128.71785612008605,0.008216432011645501,0,0,0.0,0.0
AGO,Earthquake,1000.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,192.374359318455,0.0122798102125731,0,0,0.0,0.0
AGO,Earthquake,2500.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,325.6891289603334,0.020789676472999,0,0,0.0,0.0
AGO,Earthquake,5000.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,483.3522475558363,0.0308537680740539,0,0,0.0,0.0
AGO,Flood,10.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,15.202662847295823,0.0008298684148167999,0,0,0.0,0.0
AGO,Flood,25.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,31.192007651797457,0.0017026794716791995,0,0,0.0,0.0
AGO,Flood,50.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,43.30407512687299,0.0023638414231516,0,0,0.0,0.0
AGO,Flood,100.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,48.04957818246427,0.0026228844038326,0,0,0.0,0.0
AGO,Flood,250.0,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,50.71731516145205,0.0027685082777642997,0,0,0.0,0.0
