iso3,hazard,rp,income_cat,di
AGO,Flood,5000.0,0.6,31.086197356159037
AGO,Flood,5000.0,0.8,27.813168962396016
AGO,Flood,5000.0,1.0,78.39203076123178
AGO,Flood,5000.0,tot,37.54257261530188
AGO,Flood,AAL,0.2,0.5913546597070303
AGO,Flood,AAL,0.4,1.211421892740933
AGO,Flood,AAL,0.6,1.1114604978382907
AGO,Flood,AAL,0.8,0.9944361565754789
AGO,Flood,AAL,1.0,2.8028402618105
AGO,Flood,AAL,tot,1.3423026937344467
AGO,all_hazards,10.0,0.2,5.219668872542471
AGO,all_hazards,10.0,0.4,10.813685300010802
AGO,all_hazards,10.0,0.6,9.126068284776803
AGO,all_hazards,10.0,0.8,7.401504437784207
AGO,all_hazards,10.0,1.0,20.83211523254235
AGO,all_hazards,10.0,tot,10.678608425531326
AGO,all_hazards,25.0,0.2,11.23791528691171
AGO,all_hazards,25.0,0.4,23.319333299936407
AGO,all_hazards,25.0,0.6,19.43591703760611
AGO,all_hazards,25.0,0.8,15.50823832998142
AGO,all_hazards,25.0,1.0,43.63840865485023
AGO,all_hazards,25.0,tot,22.627962521857178
AGO,all_hazards,50.0,0.2,17.581231540840207
AGO,all_hazards,50.0,0.4,36.616071066756234
AGO,all_hazards,50.0,0.6,29.648276748470312
AGO,all_hazards,50.0,0.8,22.73718555772251
AGO,all_hazards,50.0,1.0,63.94042553619842
AGO,all_hazards,50.0,tot,34.104638089997536
AGO,all_hazards,100.0,0.2,25.17422494386755
AGO,all_hazards,100.0,0.4,52.77018163779911
AGO,all_hazards,100.0,0.6,40.52642341939323
AGO,all_hazards,100.0,0.8,28.68378669289375
AGO,all_hazards,100.0,1.0,80.5563428296539
AGO,all_hazards,100.0,tot,45.542191904721506
AGO,all_hazards,250.0,0.2,44.92527084866924
AGO,all_hazards,250.0,0.4,95.02653765812347
AGO,all_hazards,250.0,0.6,67.48729733846326
AGO,all_hazards,250.0,0.8,41.46689778563044
AGO,all_hazards,250.0,1.0,116.15244149570438
AGO,all_hazards,250.0,tot,73.01168902531816
AGO,all_hazards,500.0,0.2,72.98646169703473
AGO,all_hazards,500.0,0.4,155.10109232449065
AGO,all_hazards,500.0,0.6,105.5706861589055
AGO,all_hazards,500.0,0.8,59.18383867438981
AGO,all_hazards,500.0,1.0,165.4628743189151
AGO,all_hazards,500.0,tot,111.66099063474717
AGO,all_hazards,1000.0,0.2,103.01470636360453
AGO,all_hazards,1000.0,0.4,219.37729132292964
AGO,all_hazards,1000.0,0.6,146.3774753614236
AGO,all_hazards,1000.0,0.8,78.25089107647068
AGO,all_hazards,1000.0,1.0,218.5370982627054
AGO,all_hazards,1000.0,tot,153.1114924774268
AGO,all_hazards,2500.0,0.2,165.5359988326108
AGO,all_hazards,2500.0,0.4,353.2393563766181
AGO,all_hazards,2500.0,0.6,231.14987076208243
AGO,all_hazards,2500.0,0.8,117.56661374749122
AGO,all_hazards,2500.0,1.0,327.953104819322
AGO,all_hazards,2500.0,tot,239.08898890762492
AGO,all_hazards,5000.0,0.2,239.17859340817947
AGO,all_hazards,5000.0,0.4,510.94035519037305
AGO,all_hazards,5000.0,0.6,330.845841411931
AGO,all_hazards,5000.0,0.8,163.56265965549332
AGO,all_hazards,5000.0,1.0,455.94274595604577
AGO,all_hazards,5000.0,tot,340.0940391244045
AGO,all_hazards,AAL,0.2,1.6243265265680962
AGO,all_hazards,AAL,0.4,3.4248148339425297
AGO,all_hazards,AAL,0.6,2.502246063796684
AGO,all_hazards,AAL,0.8,1.624268877510511
AGO,all_hazards,AAL,1.0,4.554550658866221
AGO,all_hazards,AAL,tot,2.7460413921368083
ALB,Earthquake,10.0,0.2,101.8337404802143
ALB,Earthquake,10.0,0.4,53.06175284013183
ALB,Earthquake,10.0,0.6,39.720607245617025
ALB,Earthquake,10.0,0.8,54.11717194337602
ALB,Earthquake,10.0,1.0,29.348162812700288
ALB,Earthquake,10.0,tot,55.61628706440789
ALB,Earthquake,25.0,0.2,253.90593231143222
ALB,Earthquake,25.0,0.4,132.30088339502842
ALB,Earthquake,25.0,0.6,99.03689844952783
ALB,Earthquake,25.0,0.8,134.93239992505832
ALB,Earthquake,25.0,1.0,73.17488884770987
